score,comparative,positive,negative
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
-2,-0.2222222222222222,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":2,""comparative"":0.2222222222222222,""words"":[""sick""]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
3,0.0967741935483871,"{""score"":3,""comparative"":0.0967741935483871,""words"":[""feeling"",""hope""]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
-2,-0.04878048780487805,"{""score"":3,""comparative"":0.07317073170731707,""words"":[""love""]}","{""score"":5,""comparative"":0.12195121951219512,""words"":[""funeral"",""sad"",""cried""]}"
3,0.14285714285714285,"{""score"":3,""comparative"":0.14285714285714285,""words"":[""smile"",""want""]}","{""score"":0,""comparative"":0,""words"":[]}"
3,0.0967741935483871,"{""score"":3,""comparative"":0.0967741935483871,""words"":[""happy""]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
3,0.16666666666666666,"{""score"":3,""comparative"":0.16666666666666666,""words"":[""won""]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
-2,-0.1111111111111111,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":2,""comparative"":0.1111111111111111,""words"":[""stolen""]}"
1,0.05555555555555555,"{""score"":2,""comparative"":0.1111111111111111,""words"":[""hope""]}","{""score"":1,""comparative"":0.05555555555555555,""words"":[""no""]}"
-1,-0.030303030303030304,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":1,""comparative"":0.030303030303030304,""words"":[""no""]}"
-1,-0.09090909090909091,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":1,""comparative"":0.09090909090909091,""words"":[""no""]}"
1,0.14285714285714285,"{""score"":1,""comparative"":0.14285714285714285,""words"":[""cool""]}","{""score"":0,""comparative"":0,""words"":[]}"
2,0.3333333333333333,"{""score"":2,""comparative"":0.3333333333333333,""words"":[""thank""]}","{""score"":0,""comparative"":0,""words"":[]}"
3,1,"{""score"":3,""comparative"":1,""words"":[""pleased""]}","{""score"":0,""comparative"":0,""words"":[]}"
-2,-0.14285714285714285,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":2,""comparative"":0.14285714285714285,""words"":[""no"",""no""]}"
6,0.3333333333333333,"{""score"":6,""comparative"":0.3333333333333333,""words"":[""win"",""like""]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
-4,-0.15384615384615385,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":4,""comparative"":0.15384615384615385,""words"":[""damn""]}"
-1,-0.041666666666666664,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":1,""comparative"":0.041666666666666664,""words"":[""no""]}"
